Day of Req Date,Count of Transaction Id
"May 31, 2018",7886
"May 30, 2018",9890
"May 29, 2018",8649
"May 28, 2018",9486
"May 27, 2018",9470
"May 26, 2018",9964
"May 25, 2018",9079
"May 24, 2018",8402
"May 23, 2018",9348
"May 22, 2018",8778
"May 21, 2018",9038
"May 20, 2018",8359
"May 19, 2018",9352
"May 18, 2018",6698
"May 17, 2018",6255
"May 16, 2018",8592
"May 15, 2018",8190
"May 14, 2018",10888
"May 13, 2018",10207
"May 12, 2018",9015
"May 11, 2018",9207
"May 10, 2018",10451
"May 9, 2018",8027
"May 8, 2018",7424
"May 7, 2018",9596
"May 6, 2018",13554
"May 5, 2018",15282
"May 4, 2018",14657
"May 3, 2018",11758
"May 2, 2018",8839
"May 1, 2018",19472
"April 30, 2018",11874
"April 29, 2018",14367
"April 28, 2018",10083
"April 27, 2018",12374
"April 26, 2018",9853
"April 25, 2018",7508
"April 24, 2018",9620
"April 23, 2018",9943
"April 22, 2018",11514
"April 21, 2018",8405
"April 20, 2018",10767
"April 19, 2018",9409
"April 18, 2018",8386
"April 17, 2018",9453
"April 16, 2018",9543
"April 15, 2018",9541
"April 14, 2018",10213
"April 13, 2018",7988
"April 12, 2018",8259
"April 11, 2018",8595
"April 10, 2018",8720
"April 9, 2018",9443
"April 8, 2018",10349
"April 7, 2018",8126
"April 6, 2018",8176
"April 5, 2018",8107
"April 4, 2018",7300
"April 3, 2018",7754
"April 2, 2018",7468
"April 1, 2018",8661
"March 31, 2018",8191
"March 30, 2018",11551
"March 29, 2018",8265
"March 28, 2018",8246
"March 27, 2018",7821
"March 26, 2018",8205
"March 25, 2018",8441
"March 24, 2018",8975
"March 23, 2018",9423
"March 22, 2018",8731
"March 21, 2018",10525
"March 20, 2018",8776
"March 19, 2018",9048
"March 18, 2018",9387
"March 17, 2018",8273
"March 16, 2018",8844
"March 15, 2018",9520
"March 14, 2018",11395
"March 13, 2018",8472
"March 12, 2018",10060
"March 11, 2018",10312
"March 10, 2018",9084
"March 9, 2018",8330
"March 8, 2018",7871
"March 7, 2018",7928
"March 6, 2018",8165
"March 5, 2018",9932
"March 4, 2018",8073
"March 3, 2018",9182
"March 2, 2018",9103
"March 1, 2018",7698
"February 28, 2018",9756
"February 27, 2018",9080
"February 26, 2018",9426
"February 25, 2018",8601
"February 24, 2018",10047
"February 23, 2018",8839
"February 22, 2018",8838
"February 21, 2018",8375
"February 20, 2018",7959
"February 19, 2018",7878
"February 18, 2018",7499
"February 17, 2018",7526
"February 16, 2018",7531
"February 15, 2018",8422
"February 14, 2018",9447
"February 13, 2018",7764
"February 12, 2018",7863
"February 11, 2018",8412
"February 10, 2018",8339
"February 9, 2018",8516
"February 8, 2018",8496
"February 7, 2018",8796
"February 6, 2018",8437
"February 5, 2018",8878
"February 4, 2018",7922
"February 3, 2018",9022
"February 2, 2018",9051
"February 1, 2018",7928
"January 31, 2018",9101
"January 30, 2018",8660
"January 29, 2018",7970
"January 28, 2018",8740
"January 27, 2018",9748
"January 26, 2018",8782
"January 25, 2018",7956
"January 24, 2018",8059
"January 23, 2018",8184
"January 22, 2018",7958
"January 21, 2018",8446
"January 20, 2018",8682
"January 19, 2018",8022
"January 18, 2018",7312
"January 17, 2018",7593
"January 16, 2018",7437
"January 15, 2018",7790
"January 14, 2018",7709
"January 13, 2018",8527
"January 12, 2018",8935
"January 11, 2018",7912
"January 10, 2018",8149
"January 9, 2018",7465
"January 8, 2018",8564
"January 7, 2018",7280
"January 6, 2018",8512
"January 5, 2018",8649
"January 4, 2018",7307
"January 3, 2018",7537
"January 2, 2018",8062
"January 1, 2018",8264
"December 31, 2017",8394
"December 30, 2017",9869
"December 29, 2017",9189
"December 28, 2017",8646
"December 27, 2017",9032
"December 26, 2017",8645
"December 25, 2017",8423
"December 24, 2017",7544
"December 23, 2017",9015
"December 22, 2017",9415
"December 21, 2017",9131
"December 20, 2017",9048
"December 19, 2017",9244
"December 18, 2017",8317
"December 17, 2017",8466
"December 16, 2017",8294
"December 15, 2017",8352
"December 14, 2017",8803
"December 13, 2017",8814
"December 12, 2017",8150
"December 11, 2017",8738
"December 10, 2017",7907
"December 9, 2017",8153
"December 8, 2017",10543
"December 7, 2017",10500
"December 6, 2017",11604
"December 5, 2017",11060
"December 4, 2017",10992
"December 3, 2017",10956
"December 2, 2017",10123
"December 1, 2017",10753
"November 30, 2017",10818
"November 29, 2017",10471
"November 28, 2017",9929
"November 27, 2017",9716
"November 26, 2017",9059
"November 25, 2017",8970
"November 24, 2017",9990
"November 23, 2017",9683
"November 22, 2017",9622
"November 21, 2017",9592
"November 20, 2017",9146
"November 19, 2017",8862
"November 18, 2017",8346
"November 17, 2017",9105
"November 16, 2017",8701
"November 15, 2017",8218
"November 14, 2017",8850
"November 13, 2017",9323
"November 12, 2017",8149
"November 11, 2017",9279
"November 10, 2017",9250
"November 9, 2017",9047
"November 8, 2017",8889
"November 7, 2017",8573
"November 6, 2017",8614
"November 5, 2017",8486
"November 4, 2017",7875
"November 3, 2017",8115
"November 2, 2017",7912
"November 1, 2017",8116
"October 31, 2017",8060
"October 30, 2017",9832
"October 29, 2017",8648
"October 28, 2017",8495
"October 27, 2017",8007
"October 26, 2017",7727
"October 25, 2017",7983
"October 24, 2017",8097
"October 23, 2017",8050
"October 22, 2017",8177
"October 21, 2017",9165
"October 20, 2017",6766
"October 19, 2017",8329
"October 18, 2017",8250
"October 17, 2017",8437
"October 16, 2017",8629
"October 15, 2017",8808
"October 14, 2017",7712
"October 13, 2017",8033
"October 12, 2017",7433
"October 11, 2017",8076
"October 10, 2017",7727
"October 9, 2017",7283
"October 8, 2017",7378
"October 7, 2017",8190
"October 6, 2017",7599
"October 5, 2017",7623
"October 4, 2017",7200
"October 3, 2017",7729
"October 2, 2017",7998
"October 1, 2017",7855
"September 30, 2017",9059
"September 29, 2017",8345
"September 28, 2017",7948
"September 27, 2017",7541
"September 26, 2017",8116
"September 25, 2017",7290
"September 24, 2017",7271
"September 23, 2017",7753
"September 22, 2017",7921
"September 21, 2017",7646
"September 20, 2017",6993
"September 19, 2017",6809
"September 18, 2017",7599
"September 17, 2017",7099
"September 16, 2017",7255
"September 15, 2017",7741
"September 14, 2017",7177
"September 13, 2017",6443
"September 12, 2017",6356
"September 11, 2017",7006
"September 10, 2017",7347
"September 9, 2017",7280
"September 8, 2017",7108
"September 7, 2017",6624
"September 6, 2017",6301
"September 5, 2017",6561
"September 4, 2017",7439
"September 3, 2017",6930
"September 2, 2017",6827
"September 1, 2017",7590
"August 31, 2017",7848
"August 30, 2017",8481
"August 29, 2017",7665
"August 28, 2017",7916
"August 27, 2017",7404
"August 26, 2017",7698
"August 25, 2017",8224
"August 24, 2017",7477
"August 23, 2017",6685
"August 22, 2017",6937
"August 21, 2017",7237
"August 20, 2017",7474
"August 19, 2017",8944
"August 18, 2017",8199
"August 17, 2017",7676
"August 16, 2017",6951
"August 15, 2017",7122
"August 14, 2017",8132
"August 13, 2017",7267
"August 12, 2017",8181
"August 11, 2017",7919
"August 10, 2017",7612
"August 9, 2017",7588
"August 8, 2017",6669
"August 7, 2017",7692
"August 6, 2017",7963
"August 5, 2017",8501
"August 4, 2017",8561
"August 3, 2017",7626
"August 2, 2017",7982
"August 1, 2017",8090
"July 31, 2017",8394
"July 30, 2017",8013
"July 29, 2017",8883
"July 28, 2017",8281
"July 27, 2017",7959
"July 26, 2017",8088
"July 25, 2017",7821
"July 24, 2017",8739
"July 23, 2017",8618
"July 22, 2017",8620
"July 21, 2017",8815
"July 20, 2017",8033
"July 19, 2017",8348
"July 18, 2017",8189
"July 17, 2017",7703
"July 16, 2017",7325
"July 15, 2017",8069
"July 14, 2017",7739
"July 13, 2017",7802
"July 12, 2017",6882
"July 11, 2017",7061
"July 10, 2017",8466
